zone;pool;beg_lat;beg_lon;mid_lat;mid_lon;end_lat;end_lon
Holte sonen;Brekket;62.9740400571103;8.71629791895262;62.977087069556;8.71623346196569;62.9777539617279;8.71718476363021
Skei/Bergheim;Sandøra;62.9777624933385;8.71727700576701;62.9816643259871;8.73186502814863;62.9814953412226;8.73669963219881
Skei/Bergheim;Bergheimshølen;62.9814869386922;8.73671805668885;62.9812483500361;8.73975938323581;62.9782343416516;8.73995939886944
Skei/Bergheim;Skeishølen;62.9782009778592;8.74007036804952;62.9753187624824;8.74254709660526;62.9766353971699;8.74739380279232
Tellesbø/Ranes;Springarkastet;62.9766860121437;8.74754111903369;62.9796377911109;8.74903160512098;62.9794382794183;8.75575069863139
Tellesbø/Ranes;Tellesbøstraumen;62.9793963070402;8.75576939654203;62.9795692474992;8.76481235799105;62.9822661534085;8.77450300051158
Tellesbø/Ranes;Pellhølen;62.9823334058642;8.77457627425594;62.982605489803;8.77783427974643;62.9809797608747;8.77890669547878
Faksnes/Øyen;Eiahølen;62.981030400657;8.77909098210892;62.9786872000735;8.78186152389376;62.9800156230595;8.78548608505492
Krangnes/Sogge;Krangneshølen;62.9800829314732;8.78554083273365;62.9818088895311;8.78893972056564;62.9817436567342;8.79542429018884
Krangnes/Sogge;Holmslettet/Kuøra;62.9817101960483;8.79549831462558;62.98197327616;8.80335227068156;62.9839267245184;8.80704078039371
Krangnes/Sogge;Nedre Kleivahølen;62.9839687033965;8.80702195581302;62.9862912060582;8.81110994559965;62.9868323658356;8.81309657602514
Mogstad/Honnstad;Kleivahølen;62.9868828632991;8.8132069585691;62.9883554096868;8.81577942448155;62.9885876618493;8.81958537653629
Mogstad/Honnstad;Mogstadhølen;62.9886296940974;8.81967747577089;62.9899481037451;8.82629321007049;62.9912319942313;8.83236718103506
Mogstad/Honnstad;Korsahølen;62.9912826103355;8.83251471732921;62.9926920691639;8.8398539123995;62.9899199052458;8.84537551617901
Mogstad/Honnstad;Eiavollhølen;62.9899031819121;8.84543086418089;62.9891621571257;8.85050215317973;62.990195408915;8.85170825261489
Mogstad/Honnstad;Langhølen;62.9902123984791;8.85181888415375;62.9927056975333;8.85237843914079;62.9931867911828;8.85317065350793
Gulla/Mauset;Gullaspollen;62.9931364268194;8.85324472555561;62.9916612954335;8.86075071054415;62.9910477839556;8.86411413675333
Gulla/Mauset;Galthølen;62.9922964890796;8.87029514817576;62.9935397547153;8.87337192103593;62.9944702010049;8.87804278997346
Gulla/Mauset;Litleflønet;62.9944197759759;8.87806155456612;62.9938840893083;8.88431666432541;62.9938246942533;8.88973661261402
Gulla/Mauset;Flønet;62.9937492231655;8.88986618202375;62.9951920024136;8.90536286021628;62.9964187157912;8.91213225442251
Sveahølen/Holtahølen;Sveahølen/Holtahølen;62.9963683320864;8.91222478857697;62.9987958235127;8.92998429307862;62.9970845494742;8.93172830822955
Ytre Moen/Røv;Fluehølen;62.9971688245048;8.93228222551583;62.9957347608033;8.93420205179447;62.9947353608643;8.93675771099557
Ytre Moen/Røv;Bruhølen;62.9947689614274;8.93683146149562;62.9936320840492;8.9412585955993;62.9934285085993;8.94455444596091
Ytre Moen/Røv;Smehølen;62.9934620833766;8.94457273857794;62.9955489247939;8.94762285355076;62.9966216329888;8.94929548158958
Ytre Moen/Røv;Nyhølen;62.9966720873242;8.94933230807661;62.9969391635197;8.95425191216532;62.9953316240151;8.95964105539022
Ytre Moen/Røv;Bjørnhølen;62.99538213343;8.9598810146582;62.9955064520407;8.96499056167469;62.9962076214087;8.96974345642715
Øvre Sæter;Talgøpollen;62.9993583145144;8.97692605304263;62.999434296575;8.98298736689097;62.9994771280662;8.98649490099136
Øvre Sæter;Sæterhølen;62.999393136916;8.98667972426791;62.999626426566;8.99025096182699;63.0005693105408;8.99218424991201
Nygard Lodge og Utigard Skjermo;Advokaten;63.0009724963203;8.99247969479103;63.0017803325256;8.9937245148018;63.0025515310656;8.99857605810118
Øyasætra;Øyasetra;63.0025179633235;8.99855750033749;63.0014453939322;9.00293662096154;63.0011908340938;9.00631662182142
Solem Gard og Nestua Harrang;Solemshølen;63.0010481295425;9.00626131044955;63.0016363409823;9.01220125218542;63.0076480690385;9.01879074065293
